Index,Parameter,Estimate,Std. error,t-stat,p-value
S&P 500,mu,0.0791,0.0089,8.8633,0.0000
S&P 500,omega,0.0156,0.0031,4.9490,0.0000
S&P 500,alpha[1],0.1226,0.0107,11.4609,0.0000
S&P 500,beta[1],0.8725,0.0102,85.1444,0.0000
S&P 500,nu,6.2001,0.4784,12.9603,0.0000
EURO STOXX 50,mu,0.0679,0.0137,4.9685,0.0000
EURO STOXX 50,omega,0.0340,0.0089,3.8229,0.0001
EURO STOXX 50,alpha[1],0.1161,0.0182,6.3681,0.0000
EURO STOXX 50,beta[1],0.8708,0.0193,45.0951,0.0000
EURO STOXX 50,nu,5.6894,0.4631,12.2846,0.0000
Nikkei 225,mu,0.0705,0.0138,5.0916,0.0000
Nikkei 225,omega,0.0413,0.0094,4.3815,0.0000
Nikkei 225,alpha[1],0.0990,0.0118,8.3615,0.0000
Nikkei 225,beta[1],0.8842,0.0136,65.2177,0.0000
Nikkei 225,nu,7.5065,0.6985,10.7466,0.0000
FTSE 100,mu,0.0467,0.0091,5.1134,0.0000
FTSE 100,omega,0.0210,0.0043,4.9103,0.0000
FTSE 100,alpha[1],0.1202,0.0143,8.4132,0.0000
FTSE 100,beta[1],0.8644,0.0157,55.1458,0.0000
FTSE 100,nu,7.3053,0.6298,11.5991,0.0000
