Index,Model,Params,Log-lik,AIC,BIC,Persistence,Half-life (days),AIC rank,BIC rank
EURO STOXX 50,"EGARCH(1,1)-t",5,-7470.93,14951.85,14984.28,0.98,31.67,3,3
EURO STOXX 50,"GARCH(1,1)-Normal",4,-7609.39,15226.79,15252.73,0.98,28.91,5,5
EURO STOXX 50,"GARCH(1,1)-skewt",6,-7464.46,14940.92,14979.83,0.99,50.52,2,2
EURO STOXX 50,"GARCH(1,1)-t",5,-7474.11,14958.21,14990.64,0.99,52.64,4,4
EURO STOXX 50,"GJR-GARCH(1,1)-t",6,-7375.87,14763.75,14802.66,0.98,34.28,1,1
FTSE 100,"EGARCH(1,1)-t",5,-8843.35,17696.70,17730.76,0.98,34.99,4,4
FTSE 100,"GARCH(1,1)-Normal",4,-8951.55,17911.11,17938.35,0.98,31.47,5,5
FTSE 100,"GARCH(1,1)-skewt",6,-8817.34,17646.68,17687.54,0.98,42.23,2,2
FTSE 100,"GARCH(1,1)-t",5,-8838.19,17686.39,17720.44,0.98,44.46,3,3
FTSE 100,"GJR-GARCH(1,1)-t",6,-8740.56,17493.13,17534.00,0.98,27.86,1,1
Nikkei 225,"EGARCH(1,1)-t",5,-10858.70,21727.41,21761.31,0.98,27.83,3,3
Nikkei 225,"GARCH(1,1)-Normal",4,-10967.19,21942.39,21969.51,0.98,28.48,5,5
Nikkei 225,"GARCH(1,1)-skewt",6,-10852.69,21717.38,21758.06,0.98,38.03,2,2
Nikkei 225,"GARCH(1,1)-t",5,-10863.08,21736.16,21770.06,0.98,40.90,4,4
Nikkei 225,"GJR-GARCH(1,1)-t",6,-10808.87,21629.74,21670.42,0.97,22.66,1,1
S&P 500,"EGARCH(1,1)-t",5,-9034.86,18079.73,18113.76,0.98,39.22,4,4
S&P 500,"GARCH(1,1)-Normal",4,-9179.40,18366.80,18394.03,0.98,35.55,5,5
S&P 500,"GARCH(1,1)-skewt",6,-8998.07,18008.13,18048.97,0.99,96.59,2,2
S&P 500,"GARCH(1,1)-t",5,-9022.63,18055.26,18089.29,1.00,140.67,3,3
S&P 500,"GJR-GARCH(1,1)-t",6,-8906.67,17825.34,17866.18,0.98,41.79,1,1
