Horizon (days),S&P 500,EURO STOXX 50,Nikkei 225,FTSE 100
1,11.785,16.754,41.971,13.793
2,11.940,16.911,41.637,13.881
3,12.090,17.063,41.308,13.966
4,12.236,17.210,40.985,14.049
5,12.377,17.352,40.667,14.129
6,12.514,17.490,40.354,14.207
7,12.647,17.623,40.046,14.283
8,12.775,17.753,39.743,14.357
9,12.901,17.878,39.445,14.429
10,13.022,17.999,39.153,14.500
11,13.140,18.117,38.865,14.568
12,13.255,18.232,38.582,14.634
13,13.367,18.343,38.304,14.699
14,13.475,18.450,38.030,14.762
15,13.581,18.555,37.761,14.824
16,13.684,18.656,37.497,14.884
17,13.784,18.755,37.238,14.942
18,13.881,18.850,36.983,14.999
19,13.976,18.943,36.732,15.054
20,14.068,19.034,36.486,15.108
21,14.158,19.121,36.244,15.161
22,14.246,19.207,36.006,15.212
23,14.332,19.290,35.772,15.262
24,14.415,19.370,35.543,15.311
25,14.496,19.449,35.317,15.359
26,14.576,19.525,35.096,15.405
27,14.653,19.599,34.879,15.450
28,14.729,19.671,34.665,15.494
29,14.802,19.741,34.456,15.537
30,14.874,19.810,34.250,15.579
31,14.944,19.876,34.048,15.620
32,15.013,19.941,33.849,15.660
33,15.080,20.003,33.655,15.699
34,15.145,20.065,33.464,15.737
35,15.209,20.124,33.276,15.774
36,15.271,20.182,33.092,15.811
37,15.332,20.239,32.911,15.846
38,15.391,20.294,32.734,15.881
39,15.449,20.347,32.560,15.914
40,15.506,20.399,32.389,15.947
41,15.561,20.450,32.222,15.979
42,15.615,20.499,32.058,16.011
43,15.668,20.548,31.897,16.041
44,15.720,20.595,31.739,16.071
45,15.771,20.640,31.584,16.100
46,15.820,20.685,31.432,16.129
47,15.868,20.728,31.282,16.157
48,15.916,20.770,31.136,16.184
49,15.962,20.811,30.993,16.210
50,16.007,20.852,30.852,16.236
51,16.051,20.891,30.715,16.262
52,16.094,20.929,30.580,16.286
53,16.137,20.966,30.447,16.311
54,16.178,21.002,30.318,16.334
55,16.218,21.037,30.190,16.357
56,16.258,21.072,30.066,16.380
57,16.297,21.105,29.944,16.402
58,16.334,21.138,29.824,16.423
59,16.371,21.170,29.707,16.444
60,16.408,21.201,29.592,16.465
