Index,Level,Model,Obs,Expected breaches,Actual breaches,Breach rate,Target rate,Kupiec stat,Kupiec p,Independence stat,Independence p,Cond. coverage stat,Cond. coverage p,Avg breach size (%),Worst breach (%),Mean VaR (%),Verdict
EURO STOXX 50,1%,"GARCH(1,1)-Normal",2653,26.5300,49,0.0185,0.0100,15.3801,0.0001,1.0795,0.2988,16.4596,0.0003,-0.9495,-5.6730,-2.5704,fail
EURO STOXX 50,1%,"GARCH(1,1)-t",2653,26.5300,38,0.0143,0.0100,4.4177,0.0356,2.4086,0.1207,6.8263,0.0329,-0.9672,-5.1446,-2.8336,fail
EURO STOXX 50,1%,"GJR-GARCH(1,1)-t",2653,26.5300,34,0.0128,0.0100,1.9510,0.1625,0.5869,0.4436,2.5379,0.2811,-0.9816,-5.7532,-2.8292,pass
EURO STOXX 50,1%,Historical simulation,2653,26.5300,31,0.0117,0.0100,0.7217,0.3956,13.1016,0.0003,13.8233,0.0010,-1.5446,-9.8717,-3.2700,fail
EURO STOXX 50,5%,"GARCH(1,1)-Normal",2653,132.6500,134,0.0505,0.0500,0.0144,0.9044,2.5814,0.1081,2.5958,0.2731,-0.8187,-7.9040,-1.8022,pass
EURO STOXX 50,5%,"GARCH(1,1)-t",2653,132.6500,149,0.0562,0.0500,2.0435,0.1529,2.5748,0.1086,4.6183,0.0993,-0.8045,-8.1324,-1.7350,pass
EURO STOXX 50,5%,"GJR-GARCH(1,1)-t",2653,132.6500,133,0.0501,0.0500,0.0010,0.9751,0.3007,0.5834,0.3017,0.8600,-0.7852,-6.8849,-1.7781,pass
EURO STOXX 50,5%,Historical simulation,2653,132.6500,133,0.0501,0.0500,0.0010,0.9751,20.4915,0.0000,20.4924,0.0000,-1.0781,-11.5686,-1.8551,fail
FTSE 100,1%,"GARCH(1,1)-Normal",2667,26.6700,57,0.0214,0.0100,26.2741,0.0000,4.2307,0.0397,30.5048,0.0000,-0.6864,-4.6225,-2.0277,fail
FTSE 100,1%,"GARCH(1,1)-t",2667,26.6700,42,0.0157,0.0100,7.5761,0.0059,1.8362,0.1754,9.4123,0.0090,-0.7786,-4.1765,-2.1681,fail
FTSE 100,1%,"GJR-GARCH(1,1)-t",2667,26.6700,38,0.0142,0.0100,4.2962,0.0382,0.3466,0.5560,4.6429,0.0981,-0.7629,-2.7444,-2.1732,pass
FTSE 100,1%,Historical simulation,2667,26.6700,34,0.0127,0.0100,1.8722,0.1712,16.6287,0.0000,18.5009,0.0001,-1.1985,-8.2844,-2.6229,fail
FTSE 100,5%,"GARCH(1,1)-Normal",2667,133.3500,127,0.0476,0.0500,0.3232,0.5697,18.0732,0.0000,18.3964,0.0001,-0.7058,-6.6504,-1.4238,fail
FTSE 100,5%,"GARCH(1,1)-t",2667,133.3500,139,0.0521,0.0500,0.2487,0.6180,20.4672,0.0000,20.7159,0.0000,-0.6782,-6.7584,-1.3885,fail
FTSE 100,5%,"GJR-GARCH(1,1)-t",2667,133.3500,140,0.0525,0.0500,0.3437,0.5577,10.8424,0.0010,11.1861,0.0037,-0.6085,-5.3858,-1.4265,fail
FTSE 100,5%,Historical simulation,2667,133.3500,133,0.0499,0.0500,0.0010,0.9752,32.4275,0.0000,32.4284,0.0000,-0.8985,-10.1566,-1.5180,fail
Nikkei 225,1%,"GARCH(1,1)-Normal",2581,25.8100,58,0.0225,0.0100,29.9502,0.0000,0.3890,0.5328,30.3392,0.0000,-0.8550,-7.4314,-2.9612,fail
Nikkei 225,1%,"GARCH(1,1)-t",2581,25.8100,38,0.0147,0.0100,5.0769,0.0242,0.3153,0.5744,5.3922,0.0675,-1.0434,-7.3333,-3.1803,pass
Nikkei 225,1%,"GJR-GARCH(1,1)-t",2581,25.8100,38,0.0147,0.0100,5.0769,0.0242,0.3153,0.5744,5.3922,0.0675,-0.9499,-5.8492,-3.1374,pass
Nikkei 225,1%,Historical simulation,2581,25.8100,33,0.0128,0.0100,1.8595,0.1727,3.3258,0.0682,5.1853,0.0748,-1.5553,-10.5423,-3.5271,pass
Nikkei 225,5%,"GARCH(1,1)-Normal",2581,129.0500,133,0.0515,0.0500,0.1261,0.7226,3.7610,0.0525,3.8870,0.1432,-0.9521,-9.1474,-2.0782,pass
Nikkei 225,5%,"GARCH(1,1)-t",2581,129.0500,149,0.0577,0.0500,3.0992,0.0783,9.4000,0.0022,12.4992,0.0019,-0.9038,-9.4655,-2.0218,fail
